"Timestamp","Author 1; Last Name, 1st+middle initials (e.g. Paine, R.T.)","Affiliation 1 (copy and paste for duplicates)","Author 2; Last Name, 1st+middle initials (e.g. Paine, R.T.)","Affiliation 2 (copy and paste for duplicates)","Author 3; Last Name, 1st+middle initials (e.g. Paine, R.T.)","Affiliation 3 (copy and paste for duplicates)","Author 4; Last Name, 1st+middle initials (e.g. Paine, R.T.)","Affiliation 4 (copy and paste for duplicates)","Author 5; Last Name, 1st+middle initials (e.g. Paine, R.T.)","Affiliation 5 (copy and paste for duplicates)","Author 6; Last Name, 1st+middle initials (e.g. Paine, R.T.)","Affiliation 6 (copy and paste for duplicates)","Author 7; Last Name, 1st+middle initials (e.g. Paine, R.T.)","Affiliation 7 (copy and paste for duplicates)","Author 8; Last Name, 1st+middle initials (e.g. Paine, R.T.)","Affiliation 8 (copy and paste for duplicates)","Author 9; Last Name, 1st+middle initials (e.g. Paine, R.T.)","Affiliation 9 (copy and paste for duplicates)","Author 10; Last Name, 1st+middle initials (e.g. Paine, R.T.)","Affiliation 10 (copy and paste for duplicates)","Author 11; Last Name, 1st+middle initials (e.g. Paine, R.T.)","Affiliation 11 (copy and paste for duplicates)","Author 12; Last Name, 1st+middle initials (e.g. Paine, R.T.)","Affiliation 12 (copy and paste for duplicates)","Author 13; Last Name, 1st+middle initials (e.g. Paine, R.T.)","Affiliation 13 (copy and paste for duplicates)","Author 14; Last Name, 1st+middle initials (e.g. Paine, R.T.)","Affiliation 14 (copy and paste for duplicates)","Author 15; Last Name, 1st+middle initials (e.g. Paine, R.T.)","Affiliation 15 (copy and paste for duplicates)"
"2016/10/01 4:20:52 PM MDT","Whalen, M.A.","Bodega Marine Laboratory","Stachwoicz, J.J.","Dept Evolution & Ecology, UC Davis","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016/10/01 5:08:31 PM MDT","Potter, A.E.","California State University, Northridge, California State University, Dominguez Hills","Lenz, E.A. ","Hawaiʻi Institute of Marine Biology","Mejia, J.","California State University, Dominguez Hills","Trujillo, A.N.","California State University, Dominguez Hills","Galloway, M.","California State University, Dominguez Hills","Gomez Mendez, V.","California State University, Dominguez Hills","Gates, R.D.","Hawaiʻi Institute of Marine Biology","Lopez, J.","California State University, Dominguez Hills","Mitchell, A.","California State University, Dominguez Hills","Padilla-Gamiño, J.L.","California State University, Dominguez Hills, University of Washington","","","","","","","","","",""
"2016/10/03 12:09:22 PM MDT","Brooks, A.J.","Marine Science Institute, University of California, Santa Barbara, CA 93106","Adam, T.C.","Marine Science Institute, University of California, Santa Barbara, CA 93106","Schmitt. R.J.","Dept. of Ecology, Evolution and Marine Biology, University of California, Santa Barbara, CA  93106","Holbrook, S.J.","Dept. of Ecology, Evolution and Marine Biology, University of California, Santa Barbara, CA  93106","Bernardi, G.","Dept. of Ecology and Evolutionary Biology, University of California, Santa Cruz, CA 95060","Seydel, K.D.","Marine Science Institute, University of California, Santa Barbara, CA 93106","","","","","","","","","","","","","","","","","",""
"2016/10/03 1:20:02 PM MDT","Wise, M. M.","Moss Landing Marine Laboratories","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016/10/03 1:20:23 PM MDT","Tyler K. B.","California State University Northridge","Carpenter R.","California State University Northridge","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016/10/03 1:22:14 PM MDT","Heard, M.P.","California State University, Monterey Bay","Boch, C.A.","Monterey Bay Aquarium Research Institute","Barry, J.P.","Monterey Bay Aquarium Research Institute","","","","","","","","","","","","","","","","","","","","","","","",""
"2016/10/03 1:49:27 PM MDT","Miner, C.M.","U.C. Santa Cruz","Multi-Agency Rocky Intertidal Network (MARINe)","see www.pacificrockyintertidal.org for complete list of authors","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016/10/03 3:09:48 PM MDT","Sullaway, G.H. ","Coastal Marine Institute and Laboratory, San Diego State University","Edwards, M.S. ","Coastal Marine Institute and Laboratory, San Diego State University","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016/10/04 4:58:43 PM MDT","Wallingford, P.D.","University of California, Irvine","Sorte, C.J.B.","University of California, Irvine","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016/10/05 4:11:21 PM MDT","Brown, K.R.","California State University, Monterey Bay","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016/10/07 7:24:46 AM MDT","Cunningham, S.R","Moss Landing Marine Labs","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016/10/07 6:57:13 PM MDT","Provost, M.M.","University of California Davis","Jones, S.B.","Duke University","Coleman, K.E.","U.S. Fish and Wildlife Service","Clark, E.C.","Duke University","Stoll, J.S.","University of Maine","Dubik, B.A.","Duke University","","","","","","","","","","","","","","","","","",""
"2016/10/08 11:10:59 AM MDT","Burnett, N.P.","University of California, Berkeley","Koehl, M.A.R.","University of California, Berkeley","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016/10/08 12:37:49 PM MDT","Johnston, E. J.","Hawaiʻi Institute of Marine Biology, Kāneʻohe, HI 96744, USA","Forsman, Z. H.","Hawaiʻi Institute of Marine Biology, Kāneʻohe, HI 96744, USA","Flot, J-F","Université Libre de Bruxelles (ULB), Avenue F.D. Roosevelt 50, B-1050 Bruxelles, Belgium","Schmidt-Roach, S.","Carl von Ossietzky University of Oldenburg, 26129 Oldenburg, Germany","Toonen, R. J.","Hawaiʻi Institute of Marine Biology, Kāneʻohe, HI 96744, USA","","","","","","","","","","","","","","","","","","","",""
"2016/10/08 2:22:29 PM MDT","Rice, M.R.","University of California, Santa Barbara","Burkepile, D.E.","University of California, Santa Barbara","","","","","","","","","","","","","","","","","","","","","","","","","",""